Date,real_close,close_lstm
2021-10-28,176.0,174.53967
2021-10-29,175.0,176.83961
2021-11-01,171.0,172.03384
2021-11-02,177.0,172.01817
2021-11-03,171.0,176.00922
2021-11-04,169.0,175.57654
2021-11-05,173.0,172.21994
2021-11-08,174.0,171.48988
2021-11-09,171.0,173.87549
2021-11-10,171.0,173.21536
2021-11-11,171.0,172.39662
2021-11-12,169.0,170.38878
2021-11-15,172.0,170.90373
2021-11-16,172.0,171.02422
2021-11-17,175.0,172.96205
2021-11-18,175.0,173.84381
2021-11-19,173.0,172.4804
2021-11-22,173.0,173.6475
2021-11-23,173.0,173.16827
2021-11-24,175.0,171.97452
2021-11-25,175.0,172.035
2021-11-26,172.0,175.24701
2021-11-29,170.0,171.72937
2021-11-30,166.0,169.18823
2021-12-01,164.0,166.49901
2021-12-02,156.0,166.73782
2021-12-03,165.0,162.00174
2021-12-06,164.0,161.88385
2021-12-07,162.0,166.97935
2021-12-08,168.0,159.62022
2021-12-09,171.0,165.61758
2021-12-10,162.0,170.20415
2021-12-13,152.0,170.99475
2021-12-14,149.0,159.6671
2021-12-15,149.0,152.20541
2021-12-16,148.0,150.70186
2021-12-17,142.0,149.95242
2021-12-20,144.0,148.14494
2021-12-21,148.0,145.2663
2021-12-22,162.0,148.29749
2021-12-23,157.0,155.44861
2021-12-24,151.0,161.03506
2021-12-27,174.0,154.98085
2021-12-28,162.0,160.60487
2021-12-29,155.0,171.22673
2021-12-30,153.0,161.04604
