Date,Open,High,Low,Close,Adj Close,Volume
02/05/2018,70000,70100,69750,69950,60867.03516,655000
03/05/2018,69500,69700,68600,68975,60018.63672,647200
04/05/2018,68500,68600,66825,67200,58474.12109,855100
07/05/2018,67200,70000,67200,70000,60910.53516,628100
08/05/2018,70000,70000,67600,67800,58996.21094,537800
09/05/2018,68425,72000,67675,70000,60910.53516,1364400
10/05/2018,70000,70000,70000,70000,60910.53516,0
11/05/2018,71000,71025,70000,70200,61084.57031,1226800
14/05/2018,69950,69950,68050,69450,60431.95703,559100
15/05/2018,69325,69450,68000,68175,59322.51953,802200
16/05/2018,67200,69100,67025,69000,60040.38672,499100
17/05/2018,69475,69900,68100,68100,59257.25781,488100
18/05/2018,68425,69200,67225,67225,58495.87109,504900
21/05/2018,67225,67950,66550,66550,57908.52344,243200
22/05/2018,66700,68250,66700,66725,58060.79688,476400
23/05/2018,66600,68300,66525,68075,59235.5,692000
24/05/2018,68075,68975,68075,68775,59844.60938,794800
25/05/2018,69200,69200,67800,68900,59953.375,789800
28/05/2018,68500,69850,68050,69475,60453.71484,683300
29/05/2018,69475,69475,69475,69475,60453.71484,0
30/05/2018,69050,69050,68100,68375,59496.54688,1199900
31/05/2018,69000,69000,68125,68500,59605.31641,2307300
01/06/2018,68500,68500,68500,68500,59605.31641,0
04/06/2018,68500,70200,68475,68500,59605.31641,1439300
05/06/2018,68475,69200,68475,69100,60127.40625,1137200
06/06/2018,69000,70050,68225,68225,59366.02734,990500
07/06/2018,69500,70800,68325,70075,60975.80469,1301400
08/06/2018,70075,71500,68700,70250,61128.07813,2251100
11/06/2018,70250,70250,70250,70250,61128.07813,0
12/06/2018,70250,70250,70250,70250,61128.07813,0
13/06/2018,70250,70250,70250,70250,61128.07813,0
14/06/2018,70250,70250,70250,70250,61128.07813,0
15/06/2018,70250,70250,70250,70250,61128.07813,0
18/06/2018,70250,70250,70250,70250,61128.07813,0
19/06/2018,70250,70250,70250,70250,61128.07813,0
20/06/2018,70250,71400,67250,68975,60018.63672,2300800
21/06/2018,69600,70000,67425,67550,58778.67188,859200
22/06/2018,67225,67700,66500,66525,57886.76953,657200
25/06/2018,67000,72000,66500,71750,62433.30859,1463600
26/06/2018,71000,72900,70375,70375,61236.84766,1678700
27/06/2018,69200,69925,68800,68800,59866.35938,759300
28/06/2018,68000,68350,66925,66950,58256.58203,1024000
29/06/2018,66200,68000,66125,67250,58517.62891,1049500
02/07/2018,67625,70225,67625,69000,60040.38672,822500
03/07/2018,69050,69875,67800,68975,60018.63672,757600
04/07/2018,67150,69975,66850,69450,62799.16016,800100
05/07/2018,69350,69350,68275,69025,62414.85938,364500
06/07/2018,69350,69350,67800,68450,61894.92969,329800
09/07/2018,68000,70500,68000,70000,63296.48828,1043900
10/07/2018,70625,71650,70150,70975,64178.11719,650100
11/07/2018,69800,70575,69775,70575,63816.42578,361400
12/07/2018,70500,70975,69500,69500,62844.375,517900
13/07/2018,69500,70475,69500,70475,63726.00781,414100
16/07/2018,70450,70450,68225,68500,61940.13672,593700
17/07/2018,68500,69600,68500,69000,62392.25781,498200
18/07/2018,69775,70000,69400,70000,63296.48828,295300
19/07/2018,70000,70400,68400,69275,62640.92188,522800
20/07/2018,69600,71000,69275,71000,64200.72656,823500
23/07/2018,71000,71850,70625,71350,64517.21094,304000
24/07/2018,71800,71900,70800,71350,64517.21094,372800
25/07/2018,71725,71750,70550,70550,63793.81641,299300
26/07/2018,70900,71000,70200,70550,63793.81641,511500
27/07/2018,70300,72925,69900,72550,65602.29688,700900
30/07/2018,72550,74400,72550,74400,67275.125,1314200
31/07/2018,74400,75975,73150,75150,67953.30469,1889400
01/08/2018,75500,76550,75000,75000,67817.66406,1397800
02/08/2018,75000,75000,73600,74650,67501.17969,623400
03/08/2018,74500,75500,74100,75000,67817.66406,763500
06/08/2018,75325,75650,74375,74375,67252.51563,509600
07/08/2018,74300,76175,74300,76000,68721.90625,413300
08/08/2018,76050,77425,75500,77000,69626.14063,998400
09/08/2018,76150,77400,75925,76000,68721.90625,595400
10/08/2018,77000,77125,75800,77000,69626.14063,859100
13/08/2018,77000,77000,74750,75000,67817.66406,782200
14/08/2018,74800,75500,71750,73500,66461.3125,1248800
15/08/2018,72000,74000,70600,71800,64924.11328,814900
16/08/2018,71500,72475,70750,71600,64743.26563,415600
17/08/2018,71600,71600,71600,71600,64743.26563,0
20/08/2018,72000,74550,71900,73275,66257.85938,1409300
21/08/2018,73900,74725,73450,74525,67388.15625,1255500
22/08/2018,74525,74525,74525,74525,67388.15625,0
23/08/2018,74700,75750,74475,75525,68292.39063,1002200
24/08/2018,75525,75525,73500,74000,66913.4375,445200
27/08/2018,74100,74550,72225,73500,66461.3125,713000
28/08/2018,73825,74500,73500,74150,67049.07031,1099200
29/08/2018,72650,73900,72500,73375,66348.28906,1496800
30/08/2018,73500,75250,73000,73000,66009.19531,852800
31/08/2018,73000,73450,72300,73000,66009.19531,1110600
03/09/2018,73500,73500,71400,71800,64924.11328,618800
04/09/2018,72400,72925,71025,72900,65918.77344,763000
05/09/2018,73075,73075,69950,70725,63952.0625,1679900
06/09/2018,70975,71800,70000,71175,64358.96484,1563900
07/09/2018,71500,73375,71475,73375,66348.28906,970700
10/09/2018,73475,73550,72250,73400,66370.89063,1390100
11/09/2018,73400,73400,73400,73400,66370.89063,0
12/09/2018,73275,74800,73150,74000,66913.4375,1326700
13/09/2018,74200,74400,74000,74400,67275.125,708000
14/09/2018,74525,75725,74400,75725,68473.24219,671800
17/09/2018,74000,74525,72900,72975,65986.59375,519300
18/09/2018,73600,73725,72000,72200,65285.8125,634100
19/09/2018,72800,74525,72800,74500,67365.55469,910300
20/09/2018,74900,75500,74525,75500,68269.78906,794400
21/09/2018,75525,75575,73525,75025,67840.27344,903200
24/09/2018,75025,75025,72625,72800,65828.35156,538900
25/09/2018,73250,74000,73025,74000,66913.4375,407000
26/09/2018,73500,74450,72750,72750,65783.14063,504600
27/09/2018,73800,75000,73500,75000,67817.66406,930300
28/09/2018,75000,75000,74050,74050,66958.64844,541500
01/10/2018,73800,74800,73000,73500,66461.3125,865200
02/10/2018,73500,74400,73175,74300,67184.70313,430600
03/10/2018,74550,74550,73000,73000,66009.19531,581300
04/10/2018,73400,73400,72000,72100,65195.38281,995700
05/10/2018,71925,73525,71200,71775,64901.51172,1125100
08/10/2018,71600,74825,71600,74800,67636.82031,1092000
09/10/2018,74550,74800,73500,74000,66913.4375,469600
10/10/2018,74000,75350,73950,75350,68134.14844,641200
11/10/2018,74000,75300,73975,74725,67569,801300
12/10/2018,75350,75500,74275,74275,67162.10156,560700
15/10/2018,74650,75775,73200,73200,66190.03906,534400
16/10/2018,73300,76000,73300,76000,68721.90625,550700
17/10/2018,76000,77950,76000,77950,70485.16406,1042400
18/10/2018,77700,79400,76050,79400,71796.30469,791200
19/10/2018,77800,79250,77025,78475,70959.88281,1684300
22/10/2018,78550,80250,78500,80025,72361.45313,1245100
23/10/2018,78725,79000,77600,78000,70530.375,945500
24/10/2018,79000,79075,75300,75300,68088.9375,707200
25/10/2018,73525,75000,73100,74050,66958.64844,2072000
26/10/2018,74050,75150,73625,74000,66913.4375,1562100
29/10/2018,74000,74750,73200,73200,66190.03906,1347000
30/10/2018,73400,73950,72200,72400,65466.65625,1327900
31/10/2018,73100,73500,71675,72300,65376.23047,1491700
01/11/2018,73100,73300,71700,72300,65376.23047,906100
02/11/2018,73100,79600,72200,77075,69693.96094,2551300
05/11/2018,77200,79950,77200,79900,72248.42188,2228800
06/11/2018,80100,81975,79150,80025,72361.45313,1635400
