Date,Open,High,Low,Close,Adj Close,Volume
24/11/2017,330,400,308,400,400,1548100
27/11/2017,428,500,350,418,418,1112800
28/11/2017,418,418,350,350,350,534500
29/11/2017,352,436,352,416,416,1236800
30/11/2017,416,450,380,396,396,1274400
01/12/2017,396,396,396,396,396,0
04/12/2017,400,436,390,410,410,338200
05/12/2017,420,420,350,374,374,357300
06/12/2017,374,400,316,348,348,845300
07/12/2017,348,356,276,278,278,488000
08/12/2017,266,272,250,258,258,194500
11/12/2017,258,322,254,306,306,502400
12/12/2017,304,324,290,304,304,572200
13/12/2017,300,300,270,284,284,179300
14/12/2017,270,282,270,270,270,49300
15/12/2017,270,270,246,260,260,109600
18/12/2017,250,260,230,240,240,128800
19/12/2017,240,300,230,300,300,532300
20/12/2017,310,320,276,276,276,758300
21/12/2017,270,290,252,258,258,109100
22/12/2017,250,266,250,252,252,36400
25/12/2017,252,252,252,252,252,0
26/12/2017,252,252,252,252,252,0
27/12/2017,252,252,232,242,242,19200
28/12/2017,260,262,242,244,244,56200
29/12/2017,242,260,240,256,256,26400
